y_true,y_proba,relevance,threshold
1,0.3406504508451835,1,0.5
1,0.9309998790525936,1,0.5
1,0.6988207918922689,1,0.5
1,0.2618210387118588,1,0.5
1,0.7949509522871506,1,0.5
1,0.6659225157247809,1,0.5
1,0.8070863963893443,1,0.5
1,0.5158642319722351,1,0.5
1,0.8893435672516455,1,0.5
1,0.3292759694524702,1,0.5
1,0.8349188087056536,1,0.5
1,0.8876812101666972,1,0.5
1,0.2216263308030742,1,0.5
1,0.9198795850722172,1,0.5
1,0.9228810572494878,1,0.5
1,0.3138661100888377,1,0.5
1,0.3277893361643763,1,0.5
1,0.5638039199504855,1,0.5
1,0.881746948323264,1,0.5
1,0.8450070009911258,1,0.5
1,0.2216427675618719,1,0.5
1,0.1543626928064056,1,0.5
1,0.917196914551632,1,0.5
1,0.6135678354518165,1,0.5
1,0.3181940570811264,1,0.5
1,0.8630771807040123,1,0.5
1,0.1874683063820887,1,0.5
1,0.3181820097582949,1,0.5
1,0.1765707689118324,1,0.5
1,0.6991303285977353,1,0.5
1,0.3481454006547757,1,0.5
1,0.9211716834444804,1,0.5
1,0.3180519483550534,1,0.5
1,0.3172330882815581,1,0.5
1,0.6192975507516013,1,0.5
1,0.3684823376448432,1,0.5
1,0.8449248700023979,1,0.5
1,0.4011209799192737,1,0.5
1,0.2356408855585592,1,0.5
1,0.2719359828743759,1,0.5
1,0.3623608372810686,1,0.5
1,0.91856373164414,1,0.5
1,0.5910088932574288,1,0.5
1,0.5120896370743974,1,0.5
1,0.2511092800186589,1,0.5
1,0.264217337586477,1,0.5
1,0.7269434235661487,1,0.5
1,0.4517958059445883,1,0.5
1,0.1956900380092519,1,0.5
1,0.6460342460088274,1,0.5
1,0.701187839647615,1,0.5
1,0.2302366182910193,1,0.5
1,0.6283054110419348,1,0.5
1,0.8632537957436709,1,0.5
1,0.5537570372225032,1,0.5
1,0.5,1,0.5
1,0.8632537957436709,1,0.5
1,0.8913197704934936,1,0.5
1,0.522986918287764,1,0.5
1,0.6718219936585886,1,0.5
1,0.2090129596571342,1,0.5
1,0.9117311309983092,1,0.5
1,0.5550686037207171,1,0.5
1,0.833642410416432,1,0.5
1,0.9266629242163026,1,0.5
1,0.8707401110901286,1,0.5
1,0.6679420654794606,1,0.5
1,0.2720944694771133,1,0.5
1,0.2610786160377881,1,0.5
1,0.9104786514575304,1,0.5
1,0.8382477422512711,1,0.5
1,0.3582918972069742,1,0.5
1,0.7395975732227332,1,0.5
1,0.475421898463565,1,0.5
1,0.8508009493819477,1,0.5
1,0.4737917549211087,1,0.5
1,0.7806852759814379,1,0.5
1,0.4222499971271544,1,0.5
1,0.7641767721734934,1,0.5
1,0.354459064642476,1,0.5
1,0.2326872729642399,1,0.5
1,0.4685780498880277,1,0.5
1,0.3181855400288363,1,0.5
1,0.2252297706933525,1,0.5
1,0.1442183195326236,1,0.5
1,0.3841991496682557,1,0.5
1,0.4904360679137635,1,0.5
1,0.8905347002293077,1,0.5
1,0.78392193541309,1,0.5
1,0.8240013360798453,1,0.5
1,0.9139331814791486,1,0.5
1,0.8872926364053207,1,0.5
1,0.828058999374289,1,0.5
1,0.8314038167951897,1,0.5
1,0.8266718006031262,1,0.5
1,0.8839522535047372,1,0.5
1,0.744181149222653,1,0.5
1,0.3181855400288368,1,0.5
1,0.8198478942868094,1,0.5
1,0.6986947818417562,1,0.5
1,0.5947626935073242,1,0.5
1,0.8401250448084797,1,0.5
1,0.7470853182031673,1,0.5
1,0.558539374230582,1,0.5
1,0.2179936185281051,1,0.5
1,0.5771893920595834,1,0.5
1,0.3181841064897973,1,0.5
1,0.8522694299218441,1,0.5
1,0.8938286691646081,1,0.5
1,0.3623608372810686,1,0.5
1,0.9292691956977256,1,0.5
1,0.3180519483550534,1,0.5
1,0.4031992383046734,1,0.5
1,0.1849537829967349,1,0.5
1,0.7931521942347123,1,0.5
1,0.9076728923941512,1,0.5
1,0.2105843875567883,1,0.5
1,0.7461118999240505,1,0.5
1,0.8252298007541357,1,0.5
1,0.2996650176715724,1,0.5
1,0.9292691956977256,1,0.5
1,0.9354205770608682,1,0.5
1,0.9193915282706704,1,0.5
1,0.2310209617730007,1,0.5
1,0.8934108290755189,1,0.5
1,0.8590226967822636,1,0.5
1,0.2326872729642399,1,0.5
1,0.1824766901162763,1,0.5
1,0.6155243420177379,1,0.5
1,0.2715286081467867,1,0.5
1,0.542778124362554,1,0.5
1,0.9075179363972256,1,0.5
1,0.6394658298521857,1,0.5
1,0.785375500994849,1,0.5
1,0.3284012649386823,1,0.5
1,0.9181195541829238,1,0.5
1,0.4633661714723975,1,0.5
1,0.1942580779738467,1,0.5
1,0.74712248246863,1,0.5
1,0.9084024336669714,1,0.5
1,0.8594604127245049,1,0.5
1,0.8910597446029616,1,0.5
1,0.8976927324883794,1,0.5
1,0.8668057361609726,1,0.5
1,0.715408493010988,1,0.5
1,0.3351102292509661,1,0.5
1,0.913040924954726,1,0.5
1,0.7337097616570285,1,0.5
1,0.9525623466994028,1,0.5
1,0.9163731832289518,1,0.5
1,0.9124823595021326,1,0.5
1,0.798788939931713,1,0.5
1,0.820667329423873,1,0.5
1,0.3013758215644173,1,0.5
1,0.9338066247468424,1,0.5
1,0.9154261443808172,1,0.5
1,0.3181949227326779,1,0.5
1,0.3355785607418061,1,0.5
1,0.7996882369256121,1,0.5
1,0.9070724014574364,1,0.5
1,0.4808428754120824,1,0.5
1,0.7339370140479623,1,0.5
1,0.5953947550602541,1,0.5
1,0.6856876841270514,1,0.5
1,0.8132455962649512,1,0.5
1,0.9032868029829104,1,0.5
1,0.9095762021271264,1,0.5
1,0.9539055342030036,1,0.5
1,0.3108970517145774,1,0.5
1,0.3206285011681978,1,0.5
1,0.9436901128288492,1,0.5
1,0.6502079480529303,1,0.5
1,0.5527429384768556,1,0.5
1,0.3573200311156944,1,0.5
1,0.9436901128288492,1,0.5
1,0.927912862350822,1,0.5
1,0.7888720793759574,1,0.5
1,0.9431625278153716,1,0.5
1,0.2582591862986461,1,0.5
1,0.9405091622661846,1,0.5
1,0.3206285011681978,1,0.5
1,0.4218163287487914,1,0.5
1,0.8761782424408159,1,0.5
1,0.5242720128100495,1,0.5
1,0.7110527969424061,1,0.5
1,0.8521762354116661,1,0.5
1,0.4304828313208847,1,0.5
1,0.7847491909804896,1,0.5
1,0.5676649513080539,1,0.5
1,0.234959151166997,1,0.5
1,0.9351538834063488,1,0.5
1,0.9351538834063488,1,0.5
1,0.3165118156130607,1,0.5
1,0.8771259419302325,1,0.5
1,0.7842266721312767,1,0.5
1,0.5781847604210886,1,0.5
1,0.8152210960166214,1,0.5
1,0.3181849637320524,1,0.5
1,0.7612835825953062,1,0.5
1,0.4097308986796564,1,0.5
0,0.2309514132191809,1,0.5
0,0.5570275720874915,1,0.5
0,0.1657768448466939,1,0.5
0,0.4266347958122782,1,0.5
0,0.3470561929345462,1,0.5
0,0.1018426745574309,1,0.5
0,0.1361239137604606,1,0.5
0,0.315374591093398,1,0.5
0,0.2051072744844329,1,0.5
0,0.3122002114390312,1,0.5
0,0.1882923302791179,1,0.5
0,0.2342587622272213,1,0.5
0,0.1939456270392308,1,0.5
0,0.1753845941517844,1,0.5
0,0.3171178914728879,1,0.5
0,0.2145346651673111,1,0.5
0,0.1212802067246837,1,0.5
0,0.3773665858699493,1,0.5
0,0.4611886480385386,1,0.5
0,0.3183342625448128,1,0.5
0,0.3856662710165839,1,0.5
0,0.3181854220252732,1,0.5
0,0.6804722038457885,1,0.5
0,0.3083490682561056,1,0.5
0,0.3391230530183722,1,0.5
0,0.3296844394262028,1,0.5
0,0.1382899791137618,1,0.5
0,0.0770281674058096,1,0.5
0,0.2654607277011761,1,0.5
0,0.3181855397820918,1,0.5
0,0.5991797830258453,1,0.5
0,0.2017129556371851,1,0.5
0,0.1506574288432924,1,0.5
0,0.3835295208049202,1,0.5
0,0.401299494423227,1,0.5
0,0.3988493852567475,1,0.5
0,0.2442978511273422,1,0.5
0,0.297114395006248,1,0.5
0,0.3457101622155991,1,0.5
0,0.3133564021688781,1,0.5
0,0.1107733595871425,1,0.5
0,0.3441127286784505,1,0.5
0,0.6006661163798119,1,0.5
0,0.1450504784266981,1,0.5
0,0.144832024603051,1,0.5
0,0.2039237276324406,1,0.5
0,0.40866862229274,1,0.5
0,0.2477060153426759,1,0.5
0,0.4710200081116977,1,0.5
0,0.2548153755017812,1,0.5
0,0.1810433997321439,1,0.5
0,0.110469960881653,1,0.5
0,0.2470783948987515,1,0.5
0,0.1811527207435266,1,0.5
0,0.1405115849650813,1,0.5
0,0.1146926146354018,1,0.5
0,0.1335521374446209,1,0.5
0,0.2012982104009776,1,0.5
0,0.1005917622489413,1,0.5
0,0.1198351726014591,1,0.5
0,0.6791998003066209,1,0.5
0,0.1923246888950273,1,0.5
0,0.7228237088593208,1,0.5
0,0.1487238510466046,1,0.5
0,0.6764746325276416,1,0.5
0,0.2639359445307789,1,0.5
0,0.1687638570609739,1,0.5
0,0.1433170422694499,1,0.5
0,0.2067631769264626,1,0.5
0,0.142812137860317,1,0.5
0,0.5603738729049699,1,0.5
0,0.3389201681460329,1,0.5
0,0.1329872032851173,1,0.5
0,0.194923357232878,1,0.5
0,0.3181855400288368,1,0.5
0,0.1536508841099641,1,0.5
0,0.6001609555414633,1,0.5
0,0.1726865226800598,1,0.5
0,0.2004480696970751,1,0.5
0,0.3147105907929558,1,0.5
0,0.3096892804274138,1,0.5
0,0.2862702993144038,1,0.5
0,0.1325143497770188,1,0.5
0,0.3121652048863364,1,0.5
